Linux 3.10.0-957.21.3.el7.x86_64 (X05) 	05/26/2020 	_x86_64_	(88 CPU)

06:05:49 PM   UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
06:54:09 PM  8903     49400    398.35      0.00 60488768 56288452  10.66  rsession
06:54:29 PM  8903     49400    167.65      0.00 60488768 56288452  10.66  rsession
06:54:49 PM  8903     49400    507.80      0.00 60488768 56288452  10.66  rsession
06:55:09 PM  8903     49400    399.50      0.00 60488768 56288452  10.66  rsession
06:55:29 PM  8903     49400    187.65      0.00 60488768 56288452  10.66  rsession
06:55:49 PM  8903     49400    422.20      0.00 60488768 56288452  10.66  rsession
06:56:09 PM  8903     49400    555.25      0.00 60488768 56288452  10.66  rsession
06:56:29 PM  8903     49400    579.65      0.00 60488768 56288452  10.66  rsession
06:56:49 PM  8903     49400    239.45      0.00 60488768 56288452  10.66  rsession
06:57:09 PM  8903     49400    604.20      0.00 60488768 56288452  10.66  rsession
06:57:29 PM  8903     49400    603.20      0.00 60488768 56288452  10.66  rsession
06:57:49 PM  8903     49400    466.70      0.00 60488768 56288452  10.66  rsession
06:58:09 PM  8903     49400    213.35      0.00 60488768 56288452  10.66  rsession
06:58:29 PM  8903     49400    603.00      0.00 60488768 56288452  10.66  rsession
06:58:49 PM  8903     49400    399.05      0.00 60488768 56288452  10.66  rsession
06:59:09 PM  8903     49400    285.85      0.00 60488768 56288452  10.66  rsession
06:59:29 PM  8903     49400    634.10      0.00 60488768 56288452  10.66  rsession
06:59:49 PM  8903     49400    389.75      0.00 60488768 56288452  10.66  rsession
07:00:09 PM  8903     49400    519.35      0.00 60488768 56288452  10.66  rsession
07:00:29 PM  8903     49400    676.10      0.00 60488768 56288452  10.66  rsession
07:00:49 PM  8903     49400    235.90      0.00 60488768 56288452  10.66  rsession
07:01:09 PM  8903     49400    646.85      0.00 60488768 56288452  10.66  rsession
07:01:29 PM  8903     49400    340.20      0.00 60488768 56288452  10.66  rsession
07:01:49 PM  8903     49400    236.75      0.00 60488768 56288452  10.66  rsession
07:02:09 PM  8903     49400    517.45      0.00 60488768 56288452  10.66  rsession
07:02:29 PM  8903     49400    335.50      0.00 60488768 56288452  10.66  rsession
07:02:49 PM  8903     49400    310.00      0.00 60488768 56288452  10.66  rsession
07:03:09 PM  8903     49400    730.80      0.00 60488768 56288452  10.66  rsession
07:03:29 PM  8903     49400    532.75      0.00 60488768 56288452  10.66  rsession
07:03:49 PM  8903     49400    497.70      0.00 60488768 56288452  10.66  rsession
07:04:09 PM  8903     49400    685.15      0.00 60488768 56288452  10.66  rsession
07:04:29 PM  8903     49400    282.85      0.00 60488768 56288452  10.66  rsession
07:04:49 PM  8903     49400    656.20      0.00 60488768 56288452  10.66  rsession
07:05:09 PM  8903     49400    657.85      0.00 60488768 56288452  10.66  rsession
07:05:29 PM  8903     49400    161.60      0.00 60488768 56288452  10.66  rsession
07:05:49 PM  8903     49400    547.20      0.00 60488768 56288452  10.66  rsession
07:06:09 PM  8903     49400    509.50      0.00 60488768 56288452  10.66  rsession
07:06:29 PM  8903     49400    251.15      0.00 60488768 56288452  10.66  rsession
07:06:49 PM  8903     49400    620.45      0.00 60488768 56288452  10.66  rsession
07:07:09 PM  8903     49400    346.60      0.00 60488768 56288452  10.66  rsession
07:07:29 PM  8903     49400    194.90      0.00 60488768 56288452  10.66  rsession
07:07:49 PM  8903     49400    437.25      0.00 60488768 56288452  10.66  rsession
07:08:09 PM  8903     49400    216.30      0.00 60488768 56288452  10.66  rsession
